pathway	100CHE6KO	101CHE6WT	102CHE6WT	103CHE6KO	104CHE6KO	20CMK6KO	21CMK6WT	22CMK6KO	23CMK6WT	24CMK6KO	26CMK6WT	30CMK6KO	32CMK6KO	33CMK6WT	34CMK6KO	36CMK6WT	81CHE6WT	82CHE6WT	84CHE6KO	86CHE6WT	87CHE6KO	88CHE6KO	99CHE6KO	9CMK6KO
MET-SAM-PWY	293.7459	0.0	32.0872	229.4454	102.3534	63.42	350.8057	95.3956	85.864	685.938	421.5831	578.6315	156.6142	72.3605	262.748	59.315	314.165	54.4535	45.9176	119.5405	103.4092	537.5962	495.473	98.2988
NAGLIPASYN-PWY	1217.7778	978.7	887.2222	1048.3333	1381.9444	1143.0413	1195.0131	2258.5582	1925.6029	2718.5868	1325.2283	1342.5	954.1667	1509.2669	871.7635	1878.4348	1315.1889	1468.2444	2130.1889	1643.7	1933.3333	1064.9111	1669.5333	1393.9128
NONMEVIPP-PWY	1388.6074	1502.4194	1353.1875	1667.7291	1569.7858	1653.0593	1333.8789	2481.9015	2005.8143	3497.8041	1836.9201	3004.6597	979.4354	1760.4182	1002.0195	2026.7701	1372.3386	1477.6357	2146.7553	1775.7107	2160.7029	1183.9483	1903.6811	1833.1481
NONOXIPENT-PWY	1507.4468	2058.3733	1722.5427	1937.0067	1854.0074	2060.8684	1475.584	2753.1233	2011.574	3994.0894	2260.503	3541.507	1016.0691	2053.684	1080.5418	2109.1602	1406.5823	1505.4823	2165.1503	1909.7726	2369.4625	1172.013	2164.4613	2068.703
OANTIGEN-PWY	419.0374	888.6348	585.2548	960.9345	564.9862	483.8293	511.8166	1168.8006	496.8288	1347.4318	882.7422	2163.7614	850.5503	677.3524	467.4966	597.6455	329.9123	202.0189	332.6522	174.2773	218.1808	394.7851	689.7129	460.9849
P108-PWY	1439.5799	1342.1169	1059.8145	1284.8706	1643.5815	1352.7193	1459.5893	2355.5919	1908.2316	2567.4133	1546.8971	1934.6903	1215.67	1686.7165	1143.5839	1650.5698	1471.1296	1539.1963	2117.0719	1828.0462	2140.4107	1239.6466	2019.83	1043.0301
P122-PWY	0.0	30.9722	30.7152	20.7238	20.7491	381.589	417.7423	1248.9849	509.0112	1000.7908	692.3748	591.2109	983.994	625.3129	339.3264	602.6165	34.042	81.8935	155.9173	40.867	34.3189	20.5945	6.9761	339.0354
P124-PWY	0.0	35.533	35.4084	23.7703	23.7831	445.1408	487.1848	1495.8778	606.0127	1196.6726	815.2818	683.7485	1124.866	725.0631	388.7131	724.1729	39.2611	95.7707	184.9744	47.1443	39.5047	23.6836	7.9794	410.1684
P161-PWY	188.6915	830.0822	418.8468	366.9306	488.1525	273.3277	435.0617	974.3052	371.3492	956.1066	662.7737	635.3608	865.6029	449.3412	341.026	426.6558	245.2996	116.2831	201.4221	81.7964	101.1819	327.3012	590.0306	257.2155
P163-PWY	54.8528	83.0847	27.2649	0.0	19.6884	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.4777	44.5272	63.2076	42.3688	21.2007	20.3659	103.4479	0.0
