pathway	sequence	100CHE6KO	101CHE6WT	102CHE6WT	103CHE6KO	104CHE6KO	20CMK6KO	21CMK6WT	22CMK6KO	23CMK6WT	24CMK6KO	26CMK6WT	30CMK6KO	32CMK6KO	33CMK6WT	34CMK6KO	36CMK6WT	81CHE6WT	82CHE6WT	84CHE6KO	86CHE6WT	87CHE6KO	88CHE6KO	99CHE6KO	9CMK6KO
PWY-7208	23fe12a325dfefcdb23447f43b6b896e	123.4332	0.0	132.5764	138.2909	142.8625	206.8649	104.0039	605.737	572.5929	1075.4689	274.296	21.7151	57.145	324.5836	8.0003	798.8871	204.5791	298.2969	548.592	238.86610000000002	302.8685	145.1483	141.7196	774.8862
PWY-7208	288c8176059111c4c7fdfb0cd5afce64	29.14395	25.71525	16.857775	19.715025	26.858150000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.000675	31.715475	32.858375	24.0009	27.4296	14.857700000000001	47.430350000000004	0.0
PWY-7208	2a45f0b7f68a35504402988bcb8eb7fe	0.0	0.0	0.0	0.0	0.0	70.59	21.177	240.006	52.236599999999996	388.245	242.8296	45.1776	400.9512	316.2432	86.1198	266.8302	0.0	0.0	0.0	0.0	0.0	0.0	0.0	104.47319999999999
PWY-7208	343635a5abc8d3b1dbd2b305eb0efe32	18.2864	7.143125	3.7144250000000003	7.428850000000001	19.715025	7.143125	13.7148	7.428850000000001	11.143275000000001	16.0006	22.286550000000002	8.286025	6.571675	6.8574	6.28595	6.28595	24.0009	15.714875000000001	19.143575000000002	30.001125000000002	31.715475	30.001125000000002	22.858	3.7144250000000003
PWY-7208	40c2346925c479d2f90d76aea73b0975	0.857175	5.428775	0.0	0.0	2.000075	19.143575000000002	10.286100000000001	100.289475	6.571675	100.86092500000001	44.00165	2.2858	2.85725	41.144400000000005	2.5715250000000003	74.85995	8.857475	6.571675	8.0003	1.428625	1.71435	2.000075	6.571675	40.287225
PWY-7208	48292bb527301239168556057a7805bb	0.0	0.0	0.0	0.0	0.0	38.8586	46.001725	67.716825	44.00165	64.0024	32.858375	60.5737	13.429075000000001	46.28745	14.000525	31.715475	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.572275
PWY-7208	48634a509c9db2a42174d1920e5c3999	87.6	97.2	274.8	12.0	0.0	529.1999999999999	112.8	204.0	94.8	586.8	415.2	4.8	0.0	250.79999999999998	2.4	130.79999999999998	15.6	48.0	44.4	200.4	295.2	13.2	18.0	382.8
PWY-7208	5c5f6d5a2d45a21bc576e475985efa17	10.000375	16.57205	7.143125	24.858075	29.429675	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.429675	36.00135	46.8589	22.572275	44.00165	35.144175000000004	21.14365	0.0
PWY-7208	663baa27cddeac43b08f428e96650bf5	32.0012	8.286025	12.857625	10.000375	21.429375	80.860175	123.4332	153.14860000000002	249.437925	234.008775	106.2897	130.576325	141.433875	117.432975	96.57505	158.005925	8.0003	9.428925	7.714575	25.1438	21.429375	20.857925	32.286925000000004	63.716675
PWY-7208	691eeed271e420c8e7a91d5ea0cf5431	30.572575	38.572875	29.14395	19.143575000000002	52.287675	1.428625	1.428625	0.0	3.4287	0.0	6.000225	0.0	0.0	0.0	0.0	1.71435	27.143875	19.4293	30.8583	50.2876	46.001725	32.57265	36.5728	7.143125
PWY-7208	6d5af1db8934361889a6fb8d80c70836	88.0033	69.14545	53.430575000000005	61.14515	96.860775	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.717125	47.430350000000004	54.8592	77.7172	72.0027	81.1459	110.004125	0.0
PWY-7208	749f091c6dfc58f7a48d89cf4c0f3049	99.99749999999999	0.0	9.3331	73.33149999999999	30.665899999999997	18.6662	122.66359999999999	27.999299999999998	25.3327	230.6609	145.3297	194.6618	49.3321	21.3328	91.9977	17.3329	107.9973	15.9996	13.332999999999998	35.9991	30.665899999999997	231.99419999999998	174.6623	29.3326
